source,target
0,28
0,68
0,70
0,80
0,83
0,110
0,169
0,176
0,189
0,223
0,229
0,235
0,273
0,276
0,286
0,341
0,349
0,358
0,365
0,421
0,434
0,492
0,499
1,25
1,49
1,77
1,91
1,105
1,121
1,166
1,171
1,201
1,217
1,321
1,380
1,403
1,420
1,443
1,461
1,473
1,497
2,64
2,70
2,94
2,117
2,167
2,172
2,180
2,292
2,319
2,324
2,376
2,486
3,47
3,52
3,69
3,106
3,133
3,158
3,187
3,282
3,361
3,397
3,486
3,494
4,56
4,78
4,107
4,185
4,201
4,212
4,258
4,341
4,405
4,417
4,418
4,461
4,475
5,71
5,73
5,78
5,85
5,86
5,99
5,105
5,113
5,162
5,191
5,265
5,287
5,363
5,394
5,472
6,57
6,58
6,113
6,147
6,173
6,178
6,206
6,233
6,248
6,308
6,322
6,334
6,343
6,363
6,371
6,398
6,405
6,419
6,447
7,68
7,87
7,250
7,286
7,291
7,347
7,375
7,417
7,419
7,424
7,489
8,37
8,80
8,139
8,183
8,187
8,191
8,283
8,290
8,294
8,311
8,326
8,404
8,414
8,430
8,432
8,433
8,435
8,486
9,56
9,105
9,133
9,138
9,149
9,193
9,234
9,239
9,334
9,381
9,403
9,433
9,448
10,18
10,51
10,80
10,173
10,221
10,226
10,256
10,277
10,304
10,314
10,374
10,413
10,417
10,420
10,454
11,18
11,22
11,41
11,77
11,82
11,137
11,153
11,186
11,203
11,212
11,234
11,247
11,252
11,303
11,349
11,432
12,20
12,21
12,160
12,169
12,180
12,214
12,229
12,280
12,318
12,395
12,396
12,402
12,408
12,448
12,488
12,492
13,14
13,44
13,84
13,91
13,96
13,109
13,134
13,153
13,193
13,196
13,200
13,228
13,233
13,254
13,255
13,259
13,306
13,372
13,439
14,47
14,67
14,189
14,220
14,225
14,230
14,296
14,376
14,407
14,449
15,48
15,98
15,185
15,190
15,205
15,232
15,255
15,275
15,292
15,296
15,305
15,385
15,420
16,79
16,82
16,108
16,219
16,225
16,264
16,297
16,300
16,320
16,359
16,374
16,434
16,435
16,473
16,485
16,488
17,25
17,69
17,88
17,89
17,151
17,191
17,235
17,250
17,280
17,306
17,324
17,329
17,354
17,359
17,482
18,40
18,49
18,82
18,95
18,179
18,280
18,322
18,377
18,384
18,390
18,421
18,462
18,489
19,58
19,99
19,126
19,135
19,159
19,198
19,205
19,227
19,237
19,269
19,273
19,323
19,325
19,337
19,368
19,378
19,379
19,437
19,454
19,474
19,476
20,67
20,74
20,153
20,172
20,193
20,220
20,316
20,361
20,398
20,411
20,439
20,494
21,23
21,109
21,112
21,146
21,158
21,183
21,235
21,239
21,241
21,247
21,281
21,302
21,314
21,338
21,346
21,433
21,450
21,497
22,64
22,97
22,123
22,145
22,247
22,274
22,320
22,390
22,405
22,437
23,62
23,113
23,118
23,131
23,144
23,154
23,156
23,160
23,183
23,188
23,198
23,232
23,234
23,326
23,327
23,331
23,400
23,442
23,492
24,37
24,51
24,71
24,155
24,162
24,182
24,183
24,184
24,204
24,251
24,303
24,453
24,461
25,50
25,61
25,65
25,66
25,67
25,115
25,135
25,141
25,144
25,161
25,180
25,199
25,224
25,266
25,333
25,347
25,375
25,397
25,406
25,407
25,426
25,477
25,482
25,489
26,46
26,56
26,132
26,142
26,143
26,158
26,180
26,196
26,250
26,261
26,292
26,295
26,310
26,319
26,322
26,348
26,357
26,390
26,396
26,399
26,416
26,425
27,30
27,58
27,75
27,82
27,87
27,104
27,165
27,172
27,292
27,301
27,318
27,369
27,377
27,401
27,482
28,64
28,82
28,103
28,156
28,172
28,198
28,214
28,295
28,319
28,326
28,335
28,370
28,411
28,442
28,443
28,482
29,68
29,101
29,138
29,149
29,182
29,186
29,221
29,252
29,259
29,265
29,276
29,295
29,355
29,462
29,475
29,476
30,108
30,142
30,209
30,261
30,306
30,338
30,355
30,400
30,401
30,413
31,51
31,94
31,137
31,159
31,193
31,294
31,313
31,323
31,329
31,396
31,450
31,471
31,486
32,91
32,94
32,128
32,182
32,189
32,200
32,208
32,234
32,244
32,286
32,298
32,314
32,380
32,435
32,487
33,49
33,74
33,108
33,126
33,137
33,188
33,224
33,355
33,403
33,461
34,69
34,73
34,100
34,164
34,169
34,218
34,227
34,306
34,325
34,440
34,474
35,42
35,61
35,114
35,132
35,134
35,163
35,164
35,184
35,196
35,202
35,274
35,323
35,356
35,379
35,409
35,473
35,489
35,496
36,40
36,89
36,162
36,200
36,228
36,247
36,258
36,284
36,294
36,434
36,476
37,71
37,131
37,187
37,206
37,212
37,213
37,239
37,241
37,254
37,336
37,343
37,351
37,360
37,370
37,396
37,441
37,459
37,484
37,491
37,493
38,77
38,79
38,91
38,123
38,158
38,256
38,349
38,392
38,405
38,412
38,434
38,467
39,41
39,52
39,137
39,187
39,210
39,216
39,246
39,280
39,325
39,326
39,328
39,333
39,356
39,434
39,451
39,470
40,51
40,118
40,119
40,125
40,130
40,184
40,204
40,285
40,303
40,361
40,377
40,416
40,470
40,493
41,71
41,77
41,79
41,112
41,171
41,214
41,231
41,252
41,300
41,325
41,351
41,418
41,450
41,459
41,465
42,140
42,155
42,188
42,199
42,234
42,299
42,393
42,431
42,480
42,498
43,143
43,173
43,207
43,294
43,314
43,347
43,358
43,378
43,387
43,392
43,398
44,90
44,99
44,108
44,178
44,247
44,250
44,263
44,275
44,315
44,362
44,435
45,142
45,230
45,256
45,290
45,292
45,311
45,313
45,354
45,376
45,420
46,54
46,76
46,97
46,108
46,117
46,177
46,187
46,243
46,255
46,272
46,299
46,369
46,392
46,446
46,458
47,67
47,130
47,230
47,238
47,275
47,289
47,293
47,308
47,342
47,417
47,418
47,419
47,440
48,76
48,81
48,104
48,133
48,142
48,164
48,167
48,185
48,188
48,236
48,250
48,272
48,336
48,388
48,409
48,465
49,53
49,124
49,125
49,138
49,165
49,173
49,206
49,229
49,254
49,339
49,408
49,496
49,499
50,51
50,74
50,81
50,112
50,134
50,146
50,150
50,234
50,251
50,274
50,288
50,382
50,417
50,476
50,489
50,493
51,57
51,75
51,86
51,115
51,134
51,146
51,155
51,160
51,176
51,182
51,192
51,234
51,237
51,246
51,277
51,283
51,383
51,418
52,81
