policy_document_id_citing,policy_source_type_citing,published_on_year_citing,policy_source_id_citing,policy_source_title_citing,ref_science_count_citing,policy_document_id_cited,policy_source_type_cited,published_on_year_cited,policy_source_id_cited,policy_source_title_cited,ref_science_count_cited
gpogov-2db0a066299d214252b9d2840d798d2d,government,2019,gpogov,Government Publishing Office,18,brookings-1628f822f895734f9eb5ca5273d788ac,think tank,2017,brookings,Brookings Institution,0
nycgov-1fa89681c00ae6d84c9d37550dd26c2c,government,2019,nycgov,City of New York,12,centerforamericanprogress-c5361552eefb87e109e362d5b5ba3481,think tank,2019,centerforamericanprogress,Center for American Progress,7
committee_house-93edbe2c7a8d9172675400c36dc10038,government,2019,committee_house,House Committees,0,rtiinternational-29b1632005d3cd43c05f3019f7889396,think tank,2018,rtiinternational,RTI International,1
committee_house-2edd907352c3dc28db57f8c3cc5bffb8,government,2019,committee_house,House Committees,29,nber-8897f01a1e152359f5c3478b7f974d51,think tank,2005,nber,NBER,13
nycgov-a393304678e5f5a71bd401dc5817156c,government,2019,nycgov,City of New York,27,nber-63bf17780c1188057a52449359ac048a,think tank,2007,nber,NBER,17
seattlegov-1ad75c551811406d0d10ef9faed68b32,government,2019,seattlegov,City of Seattle,14,nber-6ecf04e0d782911ba34814fdeff074c1,think tank,2006,nber,NBER,27
committee_senate-f18014edc409210c7123544f92656b40,government,2019,committee_senate,Senate Committees,1,nber-683b02f394fd03024b30772bc6a3665b,think tank,2017,nber,NBER,34
committee_senate-a1648acbec4d07085940cb705d5cd087,government,2019,committee_senate,Senate Committees,2,piie-c147c9e302cf35a877eebfe362448cca,think tank,2017,piie,Peterson Institute for International Economics,2
nycgov-71aa7d2750d56f13f85f54ee720702d8,government,2019,nycgov,City of New York,5,csis-5ca0450657c2fe6668c47af0a30ca3aa,think tank,2011,csis,Center for Strategic and International Studies,0
stateofidaho-f1220956cdcec3a9f9b60496d1e2902b,government,2019,stateofidaho,State of Idaho,12,nber-40e504825778a9204e7659635b3012dd,think tank,2014,nber,NBER,22
committee_house-09c185d359db3328f3a8921ba1b4ae8a,government,2019,committee_house,House Committees,3,csis-e11bfec5a021ba580a599fcef803b4f7,think tank,2011,csis,Center for Strategic and International Studies,0
committee_house-743457b48aa9079dd1a00b754602817c,government,2019,committee_house,House Committees,22,newamerica-953057cc421d93fe8c3d4c260aaf6174,think tank,2018,newamerica,New America,0
nycgov-5183d04a37fea165868350477dba4e3d,government,2019,nycgov,City of New York,462,centerforamericanprogress-9df855c86c0367d111c736f9f1080ff4,think tank,2017,centerforamericanprogress,Center for American Progress,1
committee_house-a4f2335a5355d4fc05dd3cce39d0355c,government,2019,committee_house,House Committees,5,kff-82881c47bb114ef78f296d737b96e384,think tank,2014,kff,Kaiser Family Foundation,0
committee_house-853089df15fd672be57e01f91c61c53f,government,2019,committee_house,House Committees,17,heritagefoundation-751890390f4420bf071e7355f95d697c,think tank,2009,heritagefoundation,The Heritage Foundation,0
committee_house-3f1414f0acd934f0908a5457b0718047,government,2019,committee_house,House Committees,15,sri-f3d36b2bc18e3c83628627d5ad45695a,think tank,2005,sri,SRI,2
federalreserve-e4cbb52b5aa998569d78618ebab1ff17,government,2019,federalreserve,Federal Reserve,0,hooverinstitution-26fc906a9d5f37130dae8fad9b5e965a,think tank,2020,hooverinstitution,Hoover Institution,54
committee_house-5851a722d9e158fbc1c653bba3fa3977,government,2019,committee_house,House Committees,12,milkeninstitute-790c78ed1594c3e397af662d57826d59,think tank,2011,milkeninstitute,Milken Institute,12
congressionalresearch-0b0b7e6555b3e8e0ffeb36be10ab1de6,government,2019,congressionalresearch,Congressional Research Service,28,rooseveltinstitute-ee87fe5c2f9fc1ad15975b70186e2d49,think tank,2020,rooseveltinstitute,Roosevelt Institute,7
justicedepartment-4b429a0c7b72527e8ff39d18b3603eab,government,2019,justicedepartment,Justice Department,3,nber-c8d8da0490fe377617461db620741743,think tank,2006,nber,NBER,15
gpogov-fddbb6772d9cc32b9550c1d7c48618fc,government,2019,gpogov,Government Publishing Office,1,pewresearch-ae406e0193886bd26f093dfa605e05df,think tank,2016,pewresearch,Pew Research,1
committee_house-4dd268febd586038cc663c5c1c5d0452,government,2019,committee_house,House Committees,0,brookings-4209c4dfbefcc633f24fc1e7fca3ec56,think tank,2015,brookings,Brookings Institution,0
committee_house-9cbea30a520b3a1933097a7d05e207ec,government,2019,committee_house,House Committees,37,nber-b0490e5a83958aa053575b44908227d4,think tank,2014,nber,NBER,10
committee_house-81a9d5ffe9c3ae48cd74e7ca07bb558d,government,2019,committee_house,House Committees,12,nber-bf0ab0853668a946888df940eabb8145,think tank,2012,nber,NBER,17
committee_house-952b7a5da2179a934bc6c2f5e17aeac4,government,2019,committee_house,House Committees,12,mercatus-c8100c7688f4d314024391d79308db35,think tank,2012,mercatus,Mercatus Center,11
committee_house-fedde056e7b6bc1a559894d41033eaba,government,2019,committee_house,House Committees,3,commonwealthfund-5b6d36b80bc3595d389ea9e7752657d0,think tank,2001,commonwealthfund,Commonwealth Fund,5
california_state_agencies-6d807937fa3bd81eeb2b2d8186ae2ed9,government,2019,california_state_agencies,Californian State Agencies,0,commonwealthfund-bd8105e0ad429508ebb1bacfc476d879,think tank,2017,commonwealthfund,Commonwealth Fund,0
committee_senate-db65294a1cb0c519d452b758a524c94f,government,2019,committee_senate,Senate Committees,0,randcorporation-98d91fc6e401c4baf4ebaccfa8e761ae,think tank,2015,randcorporation,RAND Corporation,0
gpogov-b668cc7cbcaf665d062c5bc095f36fb8,government,2019,gpogov,Government Publishing Office,16,nber-293d2d298b4ccf29a6879cbade983ebf,think tank,2011,nber,NBER,11
committee_house-aa923717beff96629c475873e4aec1ca,government,2019,committee_house,House Committees,5,brookings-a13def8049786e8889cac630b43017c4,think tank,2020,brookings,Brookings Institution,5
congressionalresearch-485895b769eda032ed02b1542943c9fc,government,2019,congressionalresearch,Congressional Research Service,22,commonwealthfund-48850390978cfe0c77b6f0b03b7b9cab,think tank,2006,commonwealthfund,Commonwealth Fund,19
committee_senate-f18014edc409210c7123544f92656b40,government,2019,committee_senate,Senate Committees,8,brookings-12700fa2bc78aa1968f43f3d42cca2be,think tank,2018,brookings,Brookings Institution,0
stateofalaska-c55994886d1e83bbe7828d0a6cf3361f,government,2019,stateofalaska,State of Alaska,0,wested-70d65bdd5f217efad33a9450dadcc378,think tank,2012,wested,WestEd,6
congressionalresearch-9e78ffe4d839b0e4819706b44d0329de,government,2019,congressionalresearch,Congressional Research Service,14,kff-71608aa772340b4ad5a83344ebf5c6ea,think tank,2019,kff,Kaiser Family Foundation,15
committee_house-fda35d17ac8b8e96e3d544b3cfed7832,government,2019,committee_house,House Committees,41,nber-bfbeb631f73cdf16c97068010f723089,think tank,2007,nber,NBER,34
gpogov-2db0a066299d214252b9d2840d798d2d,government,2019,gpogov,Government Publishing Office,0,atlanticcouncil-9e05b87237aba8923ac2436d13c116ab,think tank,2021,atlanticcouncil,Atlantic Council,0
committee_house-e341d6f99e2a4db2c9101c2c3929b625,government,2019,committee_house,House Committees,16,commonwealthfund-4e306d7fed1f6835f5aa013181c7491a,think tank,2002,commonwealthfund,Commonwealth Fund,7
committee_house-f97c4ba11367f1a1f76808703bb5c81e,government,2019,committee_house,House Committees,5,csis-f0a5425fe61d8c9ac0da734a79b68290,think tank,2016,csis,Center for Strategic and International Studies,1
congressionalresearch-df980cae7bf45d8d9ca0c44123831ddc,government,2019,congressionalresearch,Congressional Research Service,0,38north-3bb546818c904444551a5390297c5b24,think tank,2019,38north,38 North,0
gpogov-b668cc7cbcaf665d062c5bc095f36fb8,government,2019,gpogov,Government Publishing Office,0,centeronbudgetandpolicypriorities-a80a2cc1d97380ed5ceda7455a5458ca,think tank,2017,centeronbudgetandpolicypriorities,Center on Budget and Policy Priorities,0
gpogov-6f63e1ffbc1c5f32edcb758dd3f5423c,government,2019,gpogov,Government Publishing Office,30,economicpolicyinstitute-f4f006180139367b400387f35bed9619,think tank,2018,economicpolicyinstitute,Economic Policy Institute,1
committee_house-953fb8561c7fef395ba0325084cba180,government,2019,committee_house,House Committees,43,jamestownfoundation-da99a5c2a84795aa727df1d2f38441c5,think tank,2017,jamestownfoundation,Jamestown Foundation,0
gpogov-557921df5417e4b23004acc876fc7d31,government,2020,gpogov,Government Publishing Office,20,jamestownfoundation-0431747f5e921ae876ea3855e11f9607,think tank,2015,jamestownfoundation,Jamestown Foundation,0
committee_house-bc2f3ed3c87c68eb97744e06319cbfda,government,2020,committee_house,House Committees,0,publicservice-b8f62228cd0f9d45ac25409c9ee43c2d,think tank,2008,publicservice,Partnership for Public Service,0
