source,target
0,22
0,25
0,53
0,63
0,95
0,119
0,182
0,214
0,248
0,263
0,288
0,298
0,319
0,386
0,430
1,35
1,41
1,53
1,67
1,92
1,123
1,130
1,138
1,161
1,207
1,223
1,229
1,238
1,279
1,314
1,318
1,357
1,375
1,443
1,444
1,455
1,498
2,59
2,70
2,138
2,154
2,170
2,195
2,249
2,304
2,312
2,314
2,326
2,394
2,395
2,422
2,442
2,474
3,45
3,114
3,167
3,175
3,177
3,234
3,258
3,366
3,478
3,493
4,22
4,32
4,63
4,88
4,110
4,158
4,183
4,324
4,459
5,37
5,74
5,120
5,159
5,302
5,355
5,384
5,419
5,433
5,465
5,469
6,124
6,127
6,159
6,223
6,260
6,307
6,312
6,322
6,367
6,406
7,12
7,37
7,110
7,119
7,135
7,195
7,222
7,235
7,256
7,265
7,267
7,303
7,333
7,335
7,351
7,377
7,391
7,403
7,443
7,467
7,499
8,14
8,57
8,153
8,164
8,313
8,401
8,407
8,478
9,23
9,41
9,50
9,67
9,80
9,104
9,122
9,162
9,185
9,207
9,229
9,238
9,240
9,289
9,299
9,340
9,357
9,361
9,367
9,368
9,375
9,384
9,389
9,396
10,58
10,93
10,120
10,138
10,168
10,192
10,229
10,264
10,289
10,302
10,314
10,323
10,376
10,394
10,423
10,441
11,25
11,60
11,72
11,79
11,93
11,100
11,114
11,162
11,197
11,199
11,221
11,295
11,314
11,323
11,324
11,331
11,337
11,340
11,367
11,435
11,446
11,450
12,76
12,112
12,113
12,170
12,186
12,218
12,222
12,228
12,245
12,283
12,325
12,354
12,372
12,392
12,393
12,409
12,427
12,452
12,475
12,483
13,80
13,87
13,92
13,185
13,195
13,226
13,255
13,268
13,280
13,281
13,352
13,353
13,410
13,451
13,458
13,486
13,498
14,24
14,25
14,61
14,98
14,116
14,133
14,164
14,175
14,187
14,221
14,228
14,261
14,356
14,391
14,452
14,459
14,478
15,142
15,191
15,208
15,214
15,220
15,233
15,234
15,245
15,256
15,288
15,303
15,313
15,399
15,483
16,25
16,53
16,80
16,109
16,139
16,141
16,150
16,160
16,177
16,253
16,264
16,269
16,273
16,282
16,289
16,340
16,375
16,402
16,424
17,22
17,26
17,67
17,82
17,118
17,273
17,279
17,280
17,285
17,307
17,308
17,326
17,332
17,434
17,442
17,458
17,469
17,480
17,498
18,43
18,106
18,136
18,175
18,190
18,254
18,287
18,325
18,360
18,372
18,374
18,382
18,454
19,28
19,46
19,59
19,68
19,88
19,148
19,184
19,214
19,259
19,266
19,286
19,313
19,349
19,401
19,447
19,477
19,488
19,492
20,29
20,43
20,56
20,95
20,112
20,142
20,167
20,198
20,203
20,213
20,215
20,249
20,266
20,290
20,293
20,297
20,415
20,482
21,106
21,109
21,125
21,148
21,153
21,201
21,206
21,228
21,254
21,286
21,298
21,316
21,391
21,421
21,425
21,432
21,454
21,467
21,491
21,492
22,42
22,62
22,113
22,154
22,201
22,229
22,232
22,292
22,317
22,351
22,380
22,427
22,480
23,50
23,73
23,74
23,86
23,116
23,208
23,279
23,299
23,324
23,358
23,363
23,443
23,448
23,490
24,72
24,91
24,97
24,144
24,149
24,151
24,159
24,178
24,213
24,316
24,322
24,346
24,420
24,474
25,31
25,115
25,135
25,152
25,193
25,195
25,207
25,396
25,435
25,440
25,457
25,486
25,490
25,498
26,49
26,64
26,70
26,81
26,147
26,151
26,173
26,211
26,215
26,224
26,263
26,301
26,311
26,327
26,358
26,371
26,376
26,382
26,424
26,432
26,444
26,451
26,489
27,67
27,73
27,100
27,107
27,109
27,118
27,131
27,134
27,171
27,174
27,179
27,193
27,263
27,268
27,342
27,344
27,348
27,357
27,367
27,406
27,423
27,425
27,455
27,459
27,463
27,480
27,485
27,487
28,39
28,45
28,51
28,172
28,246
28,249
28,255
28,286
28,287
28,313
28,318
28,351
28,358
28,362
28,381
28,413
28,414
28,437
28,482
29,86
29,101
29,104
29,105
29,158
29,176
29,198
29,216
29,217
29,218
29,220
29,223
29,239
29,296
29,297
29,313
29,325
29,360
29,369
29,381
29,403
29,427
30,39
30,59
30,63
30,78
30,88
30,104
30,204
30,216
30,241
30,252
30,309
30,313
30,321
30,439
30,492
31,58
31,72
31,120
31,160
31,161
31,221
31,235
31,275
31,316
31,318
31,328
31,410
31,417
31,423
31,458
31,462
31,480
31,482
32,83
32,175
32,194
32,212
32,241
32,290
32,341
32,365
32,374
32,400
32,414
32,427
32,431
32,433
32,453
33,60
33,61
33,65
33,67
33,114
33,129
33,148
33,180
33,208
33,209
33,259
33,305
33,325
33,372
33,405
33,418
33,422
34,45
34,56
34,62
34,63
34,69
34,78
34,90
34,129
34,136
34,171
34,172
34,285
34,336
34,361
34,429
34,453
34,498
35,69
35,88
35,90
35,112
35,113
35,135
35,236
35,290
35,291
35,314
35,393
35,398
35,401
35,403
35,436
35,473
36,85
36,88
36,225
36,275
36,299
36,318
36,326
36,328
36,385
36,434
36,447
36,460
37,94
37,109
37,113
37,136
37,159
37,163
37,206
37,209
37,235
37,266
37,292
37,350
37,366
37,389
37,442
37,454
37,475
37,491
38,99
38,133
38,170
38,186
38,194
38,200
38,222
38,266
38,277
38,294
38,354
38,361
38,397
38,473
38,475
38,493
39,77
39,92
39,132
39,182
39,217
39,280
39,294
39,341
39,421
39,430
40,80
40,136
40,211
40,250
40,295
40,323
40,359
40,382
40,387
40,396
40,430
40,433
40,444
40,466
40,474
41,49
41,115
41,138
41,177
41,195
41,223
41,225
41,262
41,284
41,326
41,387
41,388
41,416
41,419
41,449
42,43
42,92
42,157
42,183
42,231
42,251
42,262
42,283
42,294
42,364
42,400
42,407
43,77
43,106
43,112
43,176
43,182
43,215
43,256
43,265
43,277
43,309
43,329
43,333
43,360
43,361
43,383
43,386
43,400
43,411
43,417
43,421
43,430
43,436
44,106
44,111
44,116
44,130
44,134
44,141
44,170
44,202
44,307
44,389
44,417
44,469
45,65
45,89
45,105
45,132
45,162
45,167
45,240
45,254
45,319
45,365
45,374
45,432
45,447
46,137
46,186
46,229
46,235
46,247
46,256
46,268
46,276
46,329
46,379
46,381
46,414
46,471
46,482
46,494
47,81
47,261
47,280
47,326
47,327
47,343
47,347
47,380
47,406
47,416
47,466
47,479
47,489
48,65
48,82
48,94
48,101
48,106
48,113
48,135
48,137
48,157
48,202
48,203
48,211
48,228
48,240
48,259
48,312
48,317
48,333
48,336
48,391
48,432
48,487
49,54
49,55
49,75
49,139
49,149
49,166
49,249
49,299
49,313
49,337
49,496
50,75
50,178
50,198
50,238
50,304
50,307
50,315
50,326
50,331
50,363
50,417
50,421
50,459
50,462
51,57
51,81
51,111
51,127
51,134
51,154
51,168
51,199
51,207
51,213
51,302
51,304
51,316
51,371
51,375
51,466
51,498
52,112
52,227
52,291
52,298
52,308
52,350
52,355
52,392
52,403
52,408
52,421
52,454
52,492
53,59
53,75
53,103
53,127
53,168
53,240
53,249
53,281
53,331
53,357
53,368
53,376
53,395
53,396
53,444
53,449
53,472
54,85
54,107
54,145
54,168
54,199
54,223
54,245
54,303
54,319
54,323
54,332
54,355
54,357
54,395
54,409
54,464
54,486
54,492
55,85
55,102
55,110
55,144
55,148
55,150
55,168
55,213
55,262
55,264
55,277
55,280
55,296
55,299
55,312
55,346
55,411
55,422
55,462
55,495
55,497
56,75
56,97
56,129
56,134
56,176
56,214
56,239
56,247
56,251
56,276
56,277
56,319
56,392
56,407
57,88
57,109
57,111
57,118
57,137
57,172
57,226
57,235
57,251
57,351
57,364
57,393
57,432
57,483
58,71
58,79
58,100
58,126
58,133
58,182
58,207
58,297
58,301
58,367
58,376
58,385
58,404
58,459
58,463
58,489
58,498
59,73
59,85
59,95
59,107
59,129
59,146
59,234
59,247
59,249
59,262
59,338
59,382
59,390
59,438
59,484
59,496
60,77
60,82
60,168
60,170
60,195
60,314
60,338
60,340
60,343
60,345
60,356
60,369
60,375
60,390
61,76
61,83
61,110
61,165
61,206
61,216
61,222
61,225
61,230
61,301
61,312
61,401
61,411
61,415
61,423
62,69
62,76
62,91
62,109
62,128
62,137
62,209
62,210
62,243
62,248
62,251
62,289
62,296
62,300
62,341
62,365
62,371
62,400
62,428
63,108
63,157
63,187
63,192
63,209
63,217
63,226
63,231
63,258
63,351
63,370
63,383
63,414
63,436
63,461
63,484
64,127
64,134
64,168
64,171
64,223
64,226
64,280
64,322
64,342
64,343
64,362
64,368
64,462
64,470
65,71
65,109
65,135
65,175
65,184
65,196
65,215
65,239
65,278
65,294
65,319
65,351
65,355
65,403
66,74
66,91
66,102
66,130
66,148
66,189
66,212
66,296
66,327
66,368
66,371
66,373
66,410
66,413
66,435
66,441
66,474
66,482
67,78
67,145
67,204
67,252
67,284
67,306
67,311
67,344
67,366
67,378
67,385
67,404
67,416
67,422
67,439
67,492
68,108
68,183
68,210
68,215
68,258
68,278
68,319
68,356
68,365
68,398
69,71
69,180
69,212
69,221
69,257
69,330
69,351
69,379
69,456
70,74
70,82
70,112
70,203
70,236
70,243
70,279
70,280
70,302
70,327
70,356
70,409
70,424
70,449
70,450
70,463
70,472
71,73
71,74
71,85
71,91
71,107
71,116
71,118
71,143
71,160
71,190
71,208
71,279
71,282
71,299
71,314
71,357
71,367
71,387
71,423
71,474
72,73
72,85
72,96
72,158
72,178
72,189
72,190
72,244
72,273
72,290
72,308
72,311
72,410
72,484
72,485
73,80
73,126
73,174
73,225
73,248
73,269
73,273
73,307
73,308
73,327
73,340
73,384
73,434
73,485
73,490
74,108
74,145
74,154
74,166
74,178
74,187
74,225
74,229
74,237
74,240
74,285
74,296
74,302
74,327
74,389
74,416
74,472
74,474
74,484
74,492
75,102
75,124
75,150
75,160
75,185
75,192
75,232
75,290
75,306
75,343
75,356
75,367
75,423
75,443
75,445
75,472
76,83
76,94
76,409
76,421
76,458
76,468
77,100
77,101
77,104
77,112
77,132
77,135
77,181
77,208
77,220
77,227
77,248
77,317
77,334
77,336
77,392
77,459
77,470
77,479
78,83
78,142
78,158
78,181
78,232
78,236
78,336
78,422
78,445
79,97
79,121
79,134
79,138
79,155
79,203
79,217
79,223
79,237
79,263
79,264
79,342
79,343
79,348
79,413
79,435
79,443
79,463
79,464
79,479
80,158
80,171
80,253
80,298
80,315
80,343
80,366
80,394
80,463
80,474
80,479
80,498
81,118
81,229
81,238
81,264
81,279
81,282
81,289
81,304
81,353
81,367
81,375
81,394
81,416
81,441
81,455
81,464
81,496
82,151
82,154
82,156
82,161
82,162
82,178
82,352
82,428
82,438
82,456
82,458
83,170
83,198
83,210
83,217
83,254
83,306
83,309
83,341
83,351
83,408
83,430
83,447
83,460
83,468
83,475
84,122
84,145
84,164
84,229
84,232
84,260
84,302
84,312
84,324
84,370
84,481
85,91
85,102
85,105
85,115
85,131
85,145
85,159
85,173
85,224
85,230
85,255
85,315
85,357
85,409
85,459
85,460
85,462
86,106
86,124
86,133
86,234
86,311
86,325
86,329
86,334
86,362
86,386
86,431
86,447
86,468
86,491
87,102
87,131
87,190
87,245
87,258
87,268
87,316
87,359
87,366
87,374
87,485
87,489
87,498
88,155
88,173
88,204
88,228
88,234
88,243
88,256
88,271
88,320
88,334
88,372
88,374
88,400
88,403
88,413
88,427
88,461
89,178
89,195
89,202
89,210
89,238
89,318
89,324
89,356
89,380
89,389
89,465
89,481
89,496
90,104
90,106
90,129
90,158
90,163
90,217
90,218
90,227
90,313
90,317
90,345
90,386
